IP Address,VRF,Status,Role,Tenant,Assigned,DNS Name,Description,Tags,Interface,Device/VM,NAT (Inside)
172.30.2.2/23,Global,Active,,,33928,gsic-flets.m.noc.titech.ac.jp,,,MGMT,gsic-flets,
172.30.2.11/23,Global,Active,,,27753,midori1.m.noc.titech.ac.jp,,,irb,midori1 (1),
172.30.2.12/23,Global,Active,,,27855,midori2.m.noc.titech.ac.jp,,,irb,midori2,
172.30.2.13/23,Global,Active,,,27906,midori3.m.noc.titech.ac.jp,,,irb,midori3,
172.30.2.14/23,Global,Active,,,27957,midori4.m.noc.titech.ac.jp,,,irb,midori4,
172.30.2.15/23,Global,Active,,,28008,midori5.m.noc.titech.ac.jp,,,irb,midori5,
172.30.2.16/23,Global,Active,,,28059,midori6.m.noc.titech.ac.jp,,,irb,midori6,
172.30.2.17/23,Global,Active,,,33566,midoriko.m.noc.titech.ac.jp,,,MGMT,midoriko,
172.30.2.18/23,Global,Active,,,28110,ttf.m.noc.titech.ac.jp,,,irb,ttf,
172.30.2.19/23,Global,Active,,,28161,hokekan.m.noc.titech.ac.jp,,,irb,hokekan,
172.30.2.20/23,Global,Active,,,28212,80nen.m.noc.titech.ac.jp,,,irb,80nen,
172.30.2.21/23,Global,Active,,,28263,kita2.m.noc.titech.ac.jp,,,irb,kita2 (1),
172.30.2.22/23,Global,Active,,,33604,kitaji1.m.noc.titech.ac.jp,,,MGMT,kitaji1,
172.30.2.23/23,Global,Active,,,33637,kitaji8.m.noc.titech.ac.jp,,,MGMT,kitaji8,
172.30.2.24/23,Global,Active,,,33670,kitaji7.m.noc.titech.ac.jp,,,MGMT,kitaji7,
172.30.2.25/23,Global,Active,,,28365,kita3.m.noc.titech.ac.jp,,,irb,kita3 (1),
172.30.2.26/23,Global,Active,,,28467,100nen.m.noc.titech.ac.jp,,,irb,100nen,
172.30.2.27/23,Global,Active,,,28518,tosho.m.noc.titech.ac.jp,,,irb,tosho,
172.30.2.41/23,Global,Active,,,33724,jimu5.m.noc.titech.ac.jp,,,irb,jimu5,
172.30.2.42/23,Global,Active,,,28569,jimu1.m.noc.titech.ac.jp,,,irb,jimu1,
172.30.2.46/23,Global,Active,,,28620,honkanw.m.noc.titech.ac.jp,,,irb,honkanw,
172.30.2.47/23,Global,Active,,,28671,honkane.m.noc.titech.ac.jp,,,irb,honkane,
172.30.2.48/23,Global,Active,,,28722,honkanc.m.noc.titech.ac.jp,,,irb,honkanc,
172.30.2.49/23,Global,Active,,,28773,honkans.m.noc.titech.ac.jp,,,irb,honkans,
172.30.2.50/23,Global,Active,,,28824,honkanko.m.noc.titech.ac.jp,,,irb,honkanko,
172.30.2.51/23,Global,Active,,,28875,higashi1.m.noc.titech.ac.jp,,,irb,higashi1,
172.30.2.52/23,Global,Active,,,28926,higashi2.m.noc.titech.ac.jp,,,irb,higashi2,
172.30.2.55/23,Global,Active,,,29028,taiikukan.m.noc.titech.ac.jp,,,irb,taiikukan,
172.30.2.56/23,Global,Active,,,29079,kodo.m.noc.titech.ac.jp,,,irb,kodo,
172.30.2.57/23,Global,Active,,,29130,nishi1.m.noc.titech.ac.jp,,,irb,nishi1,
172.30.2.58/23,Global,Active,,,29181,nishi3.m.noc.titech.ac.jp,,,irb,nishi3,
172.30.2.59/23,Global,Active,,,29232,nishi4.m.noc.titech.ac.jp,,,irb,nishi4,
172.30.2.60/23,Global,Active,,,29283,nishiko1.m.noc.titech.ac.jp,,,irb,nishiko1,
172.30.2.61/23,Global,Active,,,29334,nishiko2.m.noc.titech.ac.jp,,,irb,nishiko2,
172.30.2.62/23,Global,Active,,,29385,nishi7.m.noc.titech.ac.jp,,,irb,nishi7,
172.30.2.63/23,Global,Active,,,29436,nishi8w.m.noc.titech.ac.jp,,,irb,nishi8w (1),
172.30.2.64/23,Global,Active,,,29522,nishi8e.m.noc.titech.ac.jp,,,irb,nishi8e (1),
172.30.2.65/23,Global,Active,,,29608,nishi9.m.noc.titech.ac.jp,,,irb,nishi9 (1),
172.30.2.66/23,Global,Active,,,30067,minami1.m.noc.titech.ac.jp,,,irb,minami1,
172.30.2.67/23,Global,Active,,,30118,minami2.m.noc.titech.ac.jp,,,irb,minami2,
172.30.2.68/23,Global,Active,,,30169,minami3.m.noc.titech.ac.jp,,,irb,minami3 (1),
172.30.2.69/23,Global,Active,,,30271,minami4.m.noc.titech.ac.jp,,,irb,minami4,
172.30.2.70/23,Global,Active,,,30322,minami4-2.m.noc.titech.ac.jp,,,irb,minami4-2,
172.30.2.71/23,Global,Active,,,30373,minami5.m.noc.titech.ac.jp,,,irb,minami5 (1),
