ID,Name,Prefixes,Tenant,Status,Role,Description,Tags,Group,Site
1,cisco-reservd-1,&mdash;,,Reserved,NOC,CISCO Switch default VLAN,Protect,Titanet,
3,peering-sinet-s,&mdash;,,Reserved,PEER,Peering segment to SINET from suzukakedai,L2,Titanet,
4,peering-sinet-o,"150.99.186.228/30

    2001:2f8:ff00:dc::/64",,Active,PEER,Peering segment to SINET,L2,Titanet,
9,sinet-l2-eduroam,&mdash;,,Active,PROJ,,L2,Titanet,
10,gsic.cc-qiq,&mdash;,,Active,BRANCH,Q-in-Q,,Titanet,
13,noc-m-flets-o,&mdash;,,Active,NOC,,,Titanet,
14,noc-m-flets-s,&mdash;,,Active,NOC,,,Titanet,
15,peering-apanjp4,203.181.194.128/27,,Active,PEER,Peering segment to APAN (IPv4),L2,Titanet,
16,peering-apanjp6,2001:200:e000:16::/64,,Active,PEER,Peering segment to APAN (IPv6),L2,Titanet,
28,noc-co2-sgw,131.112.255.216/30,,Active,NOC,,Global,Titanet,
31,noc-m-core-o,172.30.0.0/23,,Active,NOC,,"Private,Protect",Titanet,
32,noc-m-core-s,172.30.32.0/23,,Active,NOC,,"Private,Protect",Titanet,
33,noc-m-edge-o,172.30.2.0/23,,Active,NOC,,"Edge Mgmt VLAN (O),Private,Protect",Titanet,
34,noc-m-edge-s,172.30.34.0/23,,Active,NOC,,"Edge Mgmt VLAN (S),Private,Protect",Titanet,
35,noc-m-serv-o,172.30.8.0/22,,Active,NOC,,Private,Titanet,
36,noc-m-serv-s,172.30.40.0/22,,Active,NOC,,Private,Titanet,
37,noc-m-ext-o,172.30.16.0/23,,Active,NOC,,Private,Titanet,
38,noc-m-ext-s,172.30.48.0/23,,Active,NOC,,Private,Titanet,
39,noc-m-etc-o,172.30.30.0/23,,Active,NOC,,Private,Titanet,
40,noc-m-etc-s,172.30.62.0/23,,Active,NOC,,Private,Titanet,
49,noc-m-inter-core,172.30.255.0/24,,Active,NOC,,Private,Titanet,
50,gsic.cc-grid-1,&mdash;,,Active,BRANCH,,,Titanet,
54,gsic.cc-grid-2,&mdash;,,Active,BRANCH,,,Titanet,
55,noc.life,&mdash;,,Active,NOC,,,Titanet,
59,kurokawa-lab.genome,&mdash;,,Active,BRANCH,,,Titanet,
70,libra-1,&mdash;,,Active,BRANCH,,,Titanet,
71,libra-2,&mdash;,,Active,BRANCH,,,Titanet,
80,ric.ri-kanri,&mdash;,,Active,BRANCH,,,Titanet,
90,setubi.naisen,&mdash;,,Active,BRANCH,,,Titanet,
100,jim.tv-kaigi,&mdash;,,Active,BRANCH,,,Titanet,
102,peering-wide,131.112.253.232/29,,Active,PEER,Peering segment to WIDE,Global,Titanet,
112,tokyotech-o,172.29.0.0/21,,Active,NOC,キャンパス無線LAN TokyoTech用 (大岡山),"Private,Wi-Fi",Titanet,
113,tokyotech-s,172.29.24.0/21,,Active,NOC,キャンパス無線LAN TokyoTech用 (すずかけ台),"Private,Wi-Fi",Titanet,
130,jim.set-net,&mdash;,,Active,BRANCH,jim-SETnet,,Titanet,
131,jim.oj-net,&mdash;,,Active,BRANCH,jim-OJnet,,Titanet,
132,jim.on-net,&mdash;,,Active,BRANCH,jim-ONnet,,Titanet,
133,jim.os-net,&mdash;,,Active,BRANCH,jim-Osnet,,Titanet,
134,jim.ow-net,&mdash;,,Active,BRANCH,jim-Ownet,,Titanet,
135,jim.sj-net,&mdash;,,Active,BRANCH,jim-SJnet,,Titanet,
136,jim.so-net,&mdash;,,Active,BRANCH,jim-SOnet,,Titanet,
137,jim.t-net,&mdash;,,Active,BRANCH,jim-Tnet,,Titanet,
150,gsic.nyukan-o,&mdash;,,Active,BRANCH,,,Titanet,
151,gsic.nyukan-s,&mdash;,,Active,BRANCH,,,Titanet,
152,gsic.nap-inside,&mdash;,,Active,BRANCH,,,Titanet,
153,gsic.nap-outside,&mdash;,,Active,BRANCH,,,Titanet,
161,noc-event-nat-s1,&mdash;,,Active,NOC,,Wi-Fi,Titanet,
162,noc-event-nat-s2,&mdash;,,Active,NOC,,Wi-Fi,Titanet,
163,noc-event-nat-s3,&mdash;,,Active,NOC,,Wi-Fi,Titanet,
164,noc-event-nat-s4,&mdash;,,Active,NOC,,Wi-Fi,Titanet,
169,noc-event-eduroam,&mdash;,,Active,NOC,eduroamクライアントセグメント,Wi-Fi,Titanet,
171,noc-event-nat-m1,&mdash;,,Active,NOC,,Wi-Fi,Titanet,
173,noc-event-nat-l1,&mdash;,,Active,NOC,,Wi-Fi,Titanet,
254,opw_mon_suzukake,&mdash;,,Active,NOC,,,Titanet,
301,noc-mgmt-core-o,&mdash;,,Active,NOC,,,Titanet,
302,noc-mgmt-core-s,&mdash;,,Active,NOC,,,Titanet,
304,noc-mgmt-core-v,&mdash;,,Active,NOC,,,Titanet,
306,noc-mgmt-ext-o,&mdash;,,Active,NOC,,,Titanet,
307,noc-mgmt-ext-s,&mdash;,,Active,NOC,,,Titanet,
311,noc-mgmt-wlan-o,&mdash;,,Active,NOC,,,Titanet,
312,noc-mgmt-wlan-s,&mdash;,,Active,NOC,,,Titanet,
320,noc-srx3k-control,&mdash;,,Active,NOC,,,Titanet,
321,noc-srx3k-fabric,&mdash;,,Active,NOC,,,Titanet,
328,noc-daikou-in,172.28.0.0/22,,Active,NOC,,Private,Titanet,
329,noc-daikou-out,&mdash;,,Active,NOC,,Private,Titanet,
330,noc-event-o5,131.112.212.0/25,,Active,NOC,,Global,Titanet,
331,noc-event-o1,131.112.200.0/25,,Active,NOC,,Global,Titanet,
332,noc-event-o2,131.112.200.128/25,,Active,NOC,,Global,Titanet,
333,noc-event-o3,131.112.201.0/24,,Active,NOC,,Global,Titanet,
334,noc-event-o4,131.112.202.0/23,,Active,NOC,,Global,Titanet,
335,noc-event-s1,131.112.204.0/25,,Active,NOC,,Global,Titanet,
336,noc-event-s2,131.112.204.128/25,,Active,NOC,,Global,Titanet,
337,noc-event-s3,131.112.205.0/24,,Active,NOC,,Global,Titanet,
338,noc-event-s4,131.112.206.0/23,,Active,NOC,,Global,Titanet,
