Name,Status,Tenant,Role,Manufacturer,Type,Site,Location,Rack,IP Address,Tags,Platform,Serial number,Asset tag,Position (U),Rack face,IPv4 Address,IPv6 Address,Cluster,Virtual chassis,VC Position,VC Priority
80nen,Active,,Edge Switch,Juniper Networks,EX4300-48MP,80th Anniversary Hall,,,172.30.2.20/23,,,,,,,172.30.2.20/23,,,,,
100nen,Active,,Edge Switch,Juniper Networks,EX4300-48MP,Centennial Hall (Museum),,,172.30.2.26/23,,,,,,,172.30.2.26/23,,,,,
b1 (1),Active,,Edge Switch,Juniper Networks,EX4300-48MP,B1-B2 Building (B1),,,172.30.34.37/23,,,,,,,172.30.34.37/23,,,b1,1,
b1 (2),Active,,Edge Switch,Juniper Networks,EX4300-32F,B1-B2 Building (B1),,,,,,,,,,,,,b1,2,
b1b2a,Active,,Edge Switch,Juniper Networks,EX4300-48MP,B1-B2 Building Annex A,,,172.30.34.39/23,,,,,,,172.30.34.39/23,,,,,
b2 (1),Active,,Edge Switch,Juniper Networks,EX4300-48MP,B1-B2 Building (B2),,,172.30.34.38/23,,,,,,,172.30.34.38/23,,,b2,1,
b2 (2),Active,,Edge Switch,Juniper Networks,EX4300-32F,B1-B2 Building (B2),,,,,,,,,,,,,b2,2,
b2 (3),Active,,Edge Switch,Juniper Networks,EX4300-32F,B1-B2 Building (B2),,,,,,,,,,,,,b2,3,
circle1,Active,,Edge Switch,Juniper Networks,EX4300-48MP,Extracurricular Building 1,,,172.30.2.94/23,,,,,,,172.30.2.94/23,,,,,
circle3,Active,,Edge Switch,Juniper Networks,EX4300-48MP,Extracurricular Building 3,,,172.30.2.95/23,,,,,,,172.30.2.95/23,,,,,
g1 (1),Active,,Edge Switch,Juniper Networks,EX4300-48MP,G1 Building,,,172.30.34.25/23,,,,,,,172.30.34.25/23,,,g1,1,
g1 (2),Active,,Edge Switch,Juniper Networks,EX4300-48MP,G1 Building,,,,,,,,,,,,,g1,2,
g2,Active,,Edge Switch,Juniper Networks,EX4300-48MP,G2 Building,,,172.30.34.26/23,,,,,,,172.30.34.26/23,,,,,
g3 (1),Active,,Edge Switch,Juniper Networks,EX4300-48MP,G3 Building,,,172.30.34.27/23,,,,,,,172.30.34.27/23,,,g3,1,
g3 (2),Active,,Edge Switch,Juniper Networks,EX4300-48MP,G3 Building,,,,,,,,,,,,,g3,2,
