Name,Device,Label,Enabled,Type,Description,Tags,Untagged VLAN,Tagged VLANs,IP Addresses,Cable,Cable Color,Cable Peer,Mark connected,Connection,Management only,MTU,Mode,MAC Address
ge-0/0/0,80nen,,True,1000BASE-T (1GE),"sisetu,suido.631",,sisetu.suido-o (631),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
ge-0/0/1,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/2,80nen,,True,1000BASE-T (1GE),"sisetu,kinkyu-o.925",,sisetu.kinkyu-o (925),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
ge-0/0/3,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/4,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/5,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/6,80nen,,True,1000BASE-T (1GE),"gsic,nyukan-o.150",,gsic.nyukan-o (150),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
ge-0/0/7,80nen,,True,1000BASE-T (1GE),"sao,TVkaigi.709",,sao.tv-kougi-o (709),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
ge-0/0/8,80nen,,True,1000BASE-T (1GE),"jim,ONnet.132",,jim.on-net (132),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
ge-0/0/9,80nen,,True,1000BASE-T (1GE),gakuseisien.647,,gakuseisien-1 (647),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
ge-0/0/10,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/11,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/12,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/13,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/14,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/15,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/16,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/17,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/18,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/19,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/20,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/21,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/22,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
ge-0/0/23,80nen,,False,1000BASE-T (1GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/24,80nen,,True,10GBASE-T (10GE),cercle5-1(temporary),,,"noc-mgmt-core-o (301)
    
        noc-mgmt-wlan-o (311)",,,,&mdash;,False,&mdash;,False,,Tagged,
mge-0/0/25,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/26,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/27,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/28,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/29,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/30,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/31,80nen,,False,10GBASE-T (10GE),,,,&mdash;,,,,&mdash;,False,&mdash;,False,,,
mge-0/0/32,80nen,,True,10GBASE-T (10GE),ap-80nen-7(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
mge-0/0/33,80nen,,True,10GBASE-T (10GE),ap-80nen-6(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
mge-0/0/34,80nen,,True,10GBASE-T (10GE),ap-80nen-5(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
mge-0/0/35,80nen,,True,10GBASE-T (10GE),ap-80nen-4(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
mge-0/0/36,80nen,,True,10GBASE-T (10GE),ap-80nen-3(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
mge-0/0/37,80nen,,True,10GBASE-T (10GE),ap-80nen-2(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
mge-0/0/38,80nen,,True,10GBASE-T (10GE),ap-80nen-1(temporary),PoE,noc-mgmt-wlan-o (311),&mdash;,,,,&mdash;,False,&mdash;,False,,Access,
