Prefix,Status,Children,VRF,Utilization,Tenant,Site,VLAN,Role,Description,Tags,Prefix (Flat),Depth,Pool,Marked Utilized
131.12.168.64/26,Active,0,Global,0%,,,es-6 (899),BRANCH,,Global,131.12.168.64/26,0,False,False
131.112.0.0/16,Active,346,Global,0%,,,,NOC,,Global,131.112.0.0/16,0,False,False
"•
        
    

131.112.4.64/26",Active,0,Global,0%,,,gsic.cc-5 (626),BRANCH,,Global,131.112.4.64/26,1,False,False
"•
        
    

131.112.4.128/26",Active,0,Global,0%,,,gsic.cc-4 (652),BRANCH,,Global,131.112.4.128/26,1,False,False
"•
        
    

131.112.5.0/26",Active,0,Global,0%,,,gsic-4 (990),BRANCH,,Global,131.112.5.0/26,1,False,False
"•
        
    

131.112.5.64/27",Active,0,Global,0%,,,gsic-1 (995),BRANCH,,Global,131.112.5.64/27,1,False,False
"•
        
    

131.112.5.96/27",Active,0,Global,0%,,,gsic-5 (987),BRANCH,,Global,131.112.5.96/27,1,False,False
"•
        
    

131.112.5.128/27",Active,0,Global,0%,,,gsic-7 (956),BRANCH,,Global,131.112.5.128/27,1,False,False
"•
        
    

131.112.5.160/27",Active,0,Global,0%,,,gsic-3 (992),BB,,Global,131.112.5.160/27,1,False,False
"•
        
    

131.112.5.192/26",Active,0,Global,0%,,,gsic-6 (962),BRANCH,,Global,131.112.5.192/26,1,False,False
"•
        
    

131.112.6.128/25",Active,0,Global,0%,,,gsic-14 (526),BRANCH,,Global,131.112.6.128/25,1,False,False
"•
        
    

131.112.14.192/26",Active,0,Global,0%,,,cc.kyoiku (985),BRANCH,,Global,131.112.14.192/26,1,False,False
"•
        
    

131.112.16.0/24",Active,0,Global,0%,,,cs-1 (988),BRANCH,,Global,131.112.16.0/24,1,False,False
"•
        
    

131.112.18.0/24",Active,0,Global,0%,,,chem-1 (842),BRANCH,,Global,131.112.18.0/24,1,False,False
"•
        
    

131.112.19.0/24",Active,0,Global,0%,,,chem-2 (833),BRANCH,,Global,131.112.19.0/24,1,False,False
"•
        
    

131.112.20.0/24",Active,1,Global,0%,,,tac-mi-1 (487),BRANCH,,Global,131.112.20.0/24,1,False,False
"•
        
            •
        
    

131.112.20.64/27",Active,0,Global,0%,,,tac-mi-2 (484),BRANCH,,Global,131.112.20.64/27,2,False,False
"•
        
    

131.112.22.0/25",Active,0,Global,0%,,,sms-1 (773),BRANCH,,Global,131.112.22.0/25,1,False,False
"•
        
    

131.112.22.128/25",Active,0,Global,0%,,,sms-2 (772),BRANCH,,Global,131.112.22.128/25,1,False,False
"•
        
    

131.112.23.0/26",Active,0,Global,0%,,,sao-1 (644),BRANCH,,Global,131.112.23.0/26,1,False,False
"•
        
    

131.112.23.128/26",Active,0,Global,0%,,,sao-3 (606),BRANCH,,Global,131.112.23.128/26,1,False,False
"•
        
    

131.112.23.192/26",Active,0,Global,0%,,,sao.tv-kougi-o (709),BRANCH,,Global,131.112.23.192/26,1,False,False
"•
        
    

131.112.25.0/26",Active,0,Global,0%,,,ksvo-1 (739),BRANCH,,Global,131.112.25.0/26,1,False,False
"•
        
    

131.112.25.192/27",Active,0,Global,0%,,,ksvo-2 (736),BRANCH,,Global,131.112.25.192/27,1,False,False
"•
        
    

131.112.26.0/26",Active,0,Global,0%,,,flc-1 (743),BRANCH,,Global,131.112.26.0/26,1,False,False
"•
        
    

131.112.27.192/28",Active,0,Global,0%,,,infosyenergy-2 (470),BRANCH,,Global,131.112.27.192/28,1,False,False
"•
        
    

131.112.28.0/23",Active,0,Global,0%,,,gsic-12 (876),BRANCH,,Global,131.112.28.0/23,1,False,False
"•
        
    

131.112.31.0/25",Active,0,Global,0%,,,valdes-1 (562),BRANCH,,Global,131.112.31.0/25,1,False,False
"•
        
    

131.112.31.128/26",Active,0,Global,0%,,,valdes-2 (561),BRANCH,,Global,131.112.31.128/26,1,False,False
"•
        
    

131.112.31.192/26",Active,0,Global,0%,,,valdes-3 (960),BRANCH,,Global,131.112.31.192/26,1,False,False
